id;nome;clima;terreno;aparicoes
1;input cutting-edge;invoice;Myanmar;40512
2;HTTP Alaska;Investment Account hacking;Chicken Chair;89717
3;Cambridgeshire service-desk;Mississippi vortals Minnesota;deposit virtual;84616
4;Wooden quantifying core;deposit copying;green synthesize;61141
5;Bedfordshire;Human Vision-oriented e-commerce;Money Market Account redundant;82768
6;Auto Loan Account algorithm;Gorgeous Concrete Bike;Practical Wooden Chair sexy Agent;77067
7;impactful;bypass;Incredible;94919
8;quantifying;copy Generic;Orchestrator generate;69381
9;synthesizing connect Adaptive;Investment Account withdrawal Regional;FTP;83686
10;Fundamental interface;optimize;Savings Account Steel Dynamic;60166
